COD;MAS18_2008
1101;131411
1107;48492
1401;11104
1402;674
1403;1239
1404;2041
1405;12846
2101;247672
2102;7201
2103;2871
2104;7580
2201;99314
2202;189
2203;6363
2301;15398
2302;3218
3101;106036
3102;10231
3103;9511
3201;8870
3202;9472
3301;32914
3302;3534
3303;4033
3304;5672
4101;140617
4102;141228
4103;6472
4104;2804
4105;3217
4106;17909
4201;22257
4202;6444
4203;13254
4204;18824
4301;76069
4302;9486
4303;22062
4304;7168
4305;3355
5101;205268
5102;19223
5103;36208
5104;632
5105;11234
5107;17448
5109;219866
5201;3218
5301;50402
5302;7854
5303;5557
5304;12102
5401;26147
5402;14213
5403;3745
5404;7014
5405;4934
5501;61983
5502;38013
5503;12564
5504;10822
5506;17260
5601;69529
5602;8437
5603;16278
5604;10107
5605;7647
5606;6245
5701;52108
5702;9264
5703;16514
5704;5091
5705;11776
5706;9953
5801;112937
5802;31472
5803;11230
5804;88206
6101;170324
6102;8568
6103;4997
6104;12207
6105;13611
6106;20628
6107;16364
6108;22796
6109;9655
6110;17750
6111;9197
6112;10695
6113;13705
6114;8697
6115;40567
6116;17296
6117;32261
6201;10397
6202;3601
6203;4032
6204;5510
6205;4233
6206;5100
6301;50109
6302;10213
6303;24100
6304;4844
6305;11955
6306;8495
6307;7595
6308;6053
6309;2430
6310;25542
7101;166163
7102;35475
7103;7496
7104;2813
7105;14003
7106;5159
7107;6473
7108;9296
7109;27009
7110;5676
7201;30659
7202;6816
7203;5524
7301;96992
7302;7467
7303;5390
7304;30155
7305;6799
7306;10150
7307;13337
7308;19378
7309;3613
7401;63511
7402;12952
7403;20626
7404;27188
7405;12682
7406;28555
7407;10714
7408;12005
8101;168347
8102;74695
8103;77803
8104;7287
8105;14985
8106;34465
8107;37179
8108;64787
8109;9499
8110;125537
8111;39906
8112;65133
8201;17471
8202;27771
8203;22635
8204;3687
8205;21386
8206;13659
8207;6941
8301;132991
8302;2653
8303;19903
8304;14786
8305;19721
8306;18002
8307;6114
8308;2789
8309;7331
8310;2598
8311;10094
8312;9603
8313;15166
8314;7551
9101;207323
9102;17601
9103;13270
9104;4857
9105;19119
9106;7887
9107;11329
9108;24174
9109;15723
9110;3883
9111;22487
9112;48552
9113;4768
9114;17021
9115;19647
9116;9590
9117;11524
9118;7272
9119;16277
9120;37287
9121;6969
9201;35880
9202;16417
9203;11411
9204;6092
9205;7428
9206;4697
9207;7402
9208;8258
9209;6509
9210;13118
9211;23835
10101;156306
10102;24085
10103;3379
10104;8702
10105;12309
10106;11948
10107;12396
10108;10338
10109;27064
10201;34363
10202;29581
10203;10278
10204;2621
10205;9488
10206;2902
10207;3724
10208;20755
10209;6394
10210;6224
10301;114343
10302;6564
10303;14868
10304;8287
10305;9839
10306;5895
10307;6714
10401;4971
10402;1322
10403;5858
10404;1189
11101;38312
11102;754
11201;17832
11202;4365
11203;1270
11301;1910
11302;427
11303;431
11401;3500
11402;1668
12101;90251
12102;492
12103;347
12104;751
12201;1807
12301;4194
12302;561
12303;680
12401;15070
12402;874
13101;141772
13102;49468
13103;98178
13104;86057
13105;124206
13106;89196
13107;57385
13108;43237
13109;57221
13110;299499
13111;91704
13112;138031
13113;72231
13114;217039
13115;68827
13116;73860
13117;70515
13118;78662
13119;518643
13120;121109
13121;74845
13122;170753
13123;103765
13124;175272
13125;123660
13126;69725
13127;98251
13128;94031
13129;64112
13130;56908
13131;62631
13132;61996
13201;463075
13202;15087
13203;10520
13301;70192
13302;37950
13303;10862
13401;201703
13402;50361
13403;17072
13404;42070
13501;73213
13502;3299
13503;20142
13504;8138
13505;5648
13601;49626
13602;20604
13603;19017
13604;32593
13605;55997
14101;113480
14102;3782
14103;11151
14104;14555
14105;5015
14106;12380
14107;14112
14108;24713
14201;28112
14202;10345
14203;6631
14204;22758
15101;128488
15102;1159
15201;1200
15202;1000
16101;125880
16102;15214
16103;18895
16104;8463
16105;6464
16106;7736
16107;11471
16108;11218
16109;13063
16201;8691
16202;4004
16203;11525
16204;3841
16205;3635
16206;3842
16207;3655
16301;36705
16302;17035
16303;7555
16304;2543
16305;7313