COD;MAS18_2016;MAS18_2012
1101;150566;136831
1107;75440;60912
1401;10545;13188
1402;888;620
1403;1268;1282
1404;2124;2212
1405;5700;18889
2101;286172;270734
2102;8368;8051
2103;2726;3360
2104;9672;7529
2201;126708;102972
2202;241;172
2203;6107;8000
2301;20261;14997
2302;3607;2514
3101;128245;117366
3102;12942;10867
3103;12834;9966
3201;9942;8826
3202;10871;8178
3301;38722;33362
3302;4979;3612
3303;4989;4202
3304;7672;5837
4101;166713;158796
4102;176119;158809
4103;8611;6227
4104;3599;2912
4105;3413;3408
4106;19929;18878
4201;24389;22943
4202;7573;6408
4203;15141;13931
4204;21015;19501
4301;89374;81496
4302;12031;9443
4303;24907;22989
4304;8088;7539
4305;3802;3378
5101;232527;206890
5102;21784;21765
5103;37065;45995
5104;691;732
5105;13886;12419
5107;21261;19025
5109;256936;223643
5201;4763;3678
5301;51572;55236
5302;10891;8186
5303;8032;6035
5304;14104;13203
5401;25313;28308
5402;14591;15006
5403;3938;4065
5404;7624;7311
5405;4686;5527
5501;72293;66274
5502;41686;39833
5503;13292;13527
5504;14936;11851
5506;17674;18587
5601;73005;73941
5602;8139;9903
5603;15583;19008
5604;10408;12239
5605;8195;9244
5606;7100;6838
5701;55245;56537
5702;10446;9707
5703;18421;17304
5704;5404;5451
5705;12486;12666
5706;11799;10554
5801;132525;124950
5802;34717;33711
5803;12142;11997
5804;107666;100829
6101;176616;183761
6102;10754;9230
6103;5562;5349
6104;15027;12934
6105;15369;14822
6106;25489;22441
6107;18364;17723
6108;39034;25010
6109;10423;10128
6110;20115;19526
6111;11203;9763
6112;12177;11376
6113;15487;14503
6114;9993;9191
6115;45640;44320
6116;24061;18752
6117;35890;34830
6201;10985;11411
6202;2751;3914
6203;4812;4159
6204;5916;5914
6205;4837;4357
6206;4973;5308
6301;55252;53965
6302;12334;10477
6303;28186;25313
6304;5483;5104
6305;12790;12705
6306;10185;8877
6307;8892;8016
6308;7040;6334
6309;2720;2413
6310;28581;27285
7101;179078;181903
7102;36819;38578
7103;8582;7370
7104;3309;2834
7105;39344;15606
7106;6018;5251
7107;6966;6790
7108;10267;9620
7109;31350;28099
7110;7394;6026
7201;31052;31930
7202;6844;7027
7203;5918;6117
7301;110156;105274
7302;7922;7852
7303;5566;5731
7304;32736;31905
7305;7769;7292
7306;11582;10851
7307;15009;13917
7308;21544;20393
7309;3928;3736
7401;68795;67237
7402;14638;13539
7403;22128;21406
7404;29025;27974
7405;14751;12766
7406;31428;30063
7407;11815;10922
7408;13666;12582
8101;182800;174916
8102;86840;80313
8103;75255;92442
8104;6821;7381
8105;19386;16309
8106;36206;34928
8107;39654;40002
8108;101085;70783
8109;10461;9985
8110;136814;129464
8111;42912;41819
8112;85432;65743
8201;19447;17948
8202;28248;30402
8203;24916;23924
8204;4201;3609
8205;25721;21574
8206;17174;14607
8207;7343;7487
8301;146192;145604
8302;2957;2671
8303;21997;21650
8304;18068;14697
8305;22622;20021
8306;21060;18528
8307;7616;6378
8308;3177;2782
8309;7607;7519
8310;2946;2548
8311;9487;10781
8312;11086;10090
8313;16975;15526
8314;4536;8978
9101;222965;228726
9102;19514;17862
9103;14047;13694
9104;5295;5208
9105;18435;20164
9106;9165;7745
9107;12071;11711
9108;27530;25706
9109;17629;15785
9110;4412;4007
9111;25036;23621
9112;65731;53895
9113;5485;4989
9114;19300;17897
9115;20737;23368
9116;9543;9732
9117;12376;11948
9118;8458;7213
9119;20777;16997
9120;40945;41501
9121;8422;7266
9201;41345;37005
9202;18161;15237
9203;13088;11299
9204;6600;6264
9205;8035;7894
9206;5953;4481
9207;8406;7325
9208;9519;8177
9209;7995;6609
9210;14904;13035
9211;26377;24341
10101;183001;177593
10102;25745;25841
10103;3219;3473
10104;9379;8754
10105;12635;13324
10106;12299;12069
10107;13309;13178
10108;11706;10166
10109;30379;29737
10201;36173;38519
10202;32524;30692
10203;11403;11132
10204;3155;2801
10205;11519;10981
10206;3057;2930
10207;4106;3868
10208;22585;24445
10209;6905;6665
10210;6498;6307
10301;119161;121361
10302;6924;6447
10303;15987;15250
10304;8309;8433
10305;10258;9651
10306;5651;5816
10307;7986;6526
10401;2903;5020
10402;2639;1350
10403;8085;6010
10404;1633;1196
11101;44070;41200
11102;789;743
11201;20394;19381
11202;4045;4538
11203;1298;1398
11301;2457;1909
11302;521;494
11303;513;484
11401;3802;3790
11402;1826;1627
12101;98928;93239
12102;491;461
12103;107;351
12104;262;628
12201;2091;1955
12301;5910;4287
12302;417;472
12303;168;867
12401;16528;15884
12402;660;1008
13101;318628;130879
13102;66393;48422
13103;118482;95686
13104;110526;80808
13105;146284;123801
13106;116361;85403
13107;71536;60819
13108;69453;39985
13109;74000;54256
13110;299179;307881
13111;107401;90573
13112;152094;142608
13113;79949;72533
13114;233415;229077
13115;76680;79659
13116;89456;71704
13117;88089;67929
13118;99393;75651
13119;406135;646431
13120;188011;117038
13121;95928;70564
13122;180353;181648
13123;130582;104859
13124;171246;198624
13125;150394;149641
13126;91892;66196
13127;133096;93136
13128;113965;93930
13129;83499;59881
13130;91854;55117
13131;75944;60611
13132;72348;61693
13201;440879;542428
13202;16234;17358
13203;11598;10992
13301;90103;80369
13302;64727;45332
13303;12786;11411
13401;218449;220097
13402;62459;53623
13403;18086;20033
13404;49613;46561
13501;87613;77172
13502;4320;3448
13503;22261;21959
13504;9645;8630
13505;7452;5824
13601;51415;54907
13602;26422;22047
13603;26544;23095
13604;42377;35827
13605;67801;61752
14101;132530;121315
14102;4439;3758
14103;13165;11754
14104;16672;15247
14105;5541;5127
14106;16538;12684
14107;15903;14625
14108;26861;26070
14201;32846;28686
14202;11858;10773
14203;8046;6811
14204;25251;22956
15101;176073;127399
15102;590;1307
15201;1751;1035
15202;456;1025
16101;138624;132719
16102;16614;15878
16103;24420;21595
16104;9709;8377
16105;6938;6777
16106;8671;8253
16107;13271;11875
16108;11981;11432
16109;13932;13942
16201;10465;9037
16202;4543;3963
16203;13182;11683
16204;4519;3764
16205;4294;3577
16206;4826;3761
16207;4123;3656
16301;40334;38258
16302;19128;17789
16303;9099;7321
16304;3017;2639
16305;9020;7556