Comuna;Mesas_Total_2013b;Inscritos_Total_2013b;Votacion_2013b;Participacion_2013b
ARICA;518;161573;53691;0.3323
CAMARONES;13;3708;624;0.1683
GENERAL LAGOS;9;2472;326;0.1319
PUTRE;23;6102;941;0.1542
ALTO HOSPICIO;125;41782;11428;0.2735
CAMINA;9;2754;721;0.2618
COLCHANE;8;2601;389;0.1496
HUARA;30;9135;1222;0.1338
IQUIQUE;447;150936;46798;0.3101
PICA;16;4567;1655;0.3624
POZO ALMONTE;35;10249;3086;0.3011
ANTOFAGASTA;722;245068;75232;0.307
CALAMA;351;117744;38593;0.3278
MARIA ELENA;28;7013;1654;0.2358
MEJILLONES;29;8448;2791;0.3304
OLLAGUE;6;1598;153;0.0957
SAN PEDRO DE ATACAMA;16;5198;1789;0.3442
SIERRA GORDA;11;2832;481;0.1698
TALTAL;30;9634;3367;0.3495
TOCOPILLA;69;21466;7266;0.3385
ALTO DEL CARMEN;16;4791;1841;0.3843
CALDERA;40;12797;5231;0.4088
CHANARAL;37;11648;4228;0.363
COPIAPO;325;111001;38104;0.3433
DIEGO DE ALMAGRO;47;14292;4537;0.3175
FREIRINA;16;5439;2322;0.4269
HUASCO;24;7614;3252;0.4271
TIERRA AMARILLA;33;10905;4403;0.4038
VALLENAR;130;43119;16661;0.3864
ANDACOLLO;33;10965;5030;0.4587
CANELA;28;8434;4208;0.4989
COMBARBALA;38;12103;5501;0.4545
COQUIMBO;422;142497;54543;0.3828
ILLAPEL;76;26107;11141;0.4267
LA HIGUERA;13;3997;1872;0.4684
LA SERENA;437;147768;61075;0.4133
LOS VILOS;53;16649;7284;0.4375
MONTE PATRIA;86;25894;11447;0.4421
OVALLE;251;83802;34756;0.4147
PAIHUANO;14;4525;2078;0.4592
PUNITAQUI;30;9696;4568;0.4711
RIO HURTADO;15;4660;2044;0.4386
SALAMANCA;65;21022;9008;0.4285
VICUNA;61;20686;9430;0.4559
ALGARROBO;32;10793;5372;0.4977
CABILDO;51;17255;7937;0.46
CALERA;125;42762;18607;0.4351
CALLE LARGA;30;10115;5179;0.512
CARTAGENA;53;16292;7732;0.4746
CASABLANCA;58;19969;9337;0.4676
CATEMU;33;11319;5312;0.4693
CONCON;92;31614;15738;0.4978
EL QUISCO;35;10476;5354;0.5111
EL TABO;30;8442;4464;0.5288
HIJUELAS;42;14181;6497;0.4581
ISLA DE PASCUA;15;4809;1376;0.2861
JUAN FERNANDEZ;3;804;254;0.3159
LA CRUZ;36;12350;6035;0.4887
LA LIGUA;82;27982;13362;0.4775
LIMACHE;102;34923;14831;0.4247
LLAY LLAY;57;19598;9273;0.4732
LOS ANDES;157;52625;21999;0.418
NOGALES;65;18507;8800;0.4755
OLMUE;41;13993;6364;0.4548
PANQUEHUE;18;5961;3056;0.5127
PAPUDO;16;4893;2588;0.5289
PETORCA;30;8969;4331;0.4829
PUCHUNCAVI;38;12751;5908;0.4633
PUTAENDO;38;12751;6008;0.4712
QUILLOTA;205;69778;28444;0.4076
QUILPUE;356;120653;48830;0.4047
QUINTERO;63;20977;9170;0.4371
RINCONADA;24;7897;4083;0.517
SAN ANTONIO;222;75069;32680;0.4353
SAN ESTEBAN;39;13366;6624;0.4956
SAN FELIPE;165;56340;23510;0.4173
SANTA MARIA;33;11203;5709;0.5096
SANTO DOMINGO;35;10198;6030;0.5913
VALPARAISO;891;282643;100142;0.3543
VILLA ALEMANA;247;84356;34603;0.4102
VINA DEL MAR;884;289559;115574;0.3991
ZAPALLAR;24;6878;3685;0.5358
ALHUE;20;6282;2151;0.3424
BUIN;177;60740;26530;0.4368
CALERA DE TANGO;56;19080;9903;0.519
CERRILLOS;201;66257;27222;0.4109
CERRO NAVIA;340;115911;47303;0.4081
COLINA;200;68623;29012;0.4228
CONCHALI;386;119273;50357;0.4222
CURACAVI;66;22516;11005;0.4888
EL BOSQUE;412;135752;56193;0.4139
EL MONTE;72;24506;11886;0.485
ESTACION CENTRAL;396;127374;50647;0.3976
HUECHURABA;182;61822;28257;0.4571
INDEPENDENCIA;235;78655;29999;0.3814
ISLA DE MAIPO;69;23663;11014;0.4655
LA CISTERNA;257;82724;35226;0.4258
LA FLORIDA;850;289671;124432;0.4296
LA GRANJA;304;103031;39688;0.3852
LAMPA;122;41826;17326;0.4142
LA PINTANA;378;128437;43941;0.3421
LA REINA;281;87191;45523;0.5221
LAS CONDES;709;237232;130262;0.5491
LO BARNECHEA;187;64228;35223;0.5484
LO ESPEJO;300;92943;37623;0.4048
LO PRADO;261;88996;39032;0.4386
MACUL;343;98121;45105;0.4597
MAIPU;1006;343277;137342;0.4001
MARIA PINTO;28;9474;4624;0.4881
MELIPILLA;253;86963;38389;0.4414
NUNOA;581;178220;92354;0.5182
PADRE HURTADO;101;34686;15625;0.4505
PAINE;141;45088;20672;0.4585
PEDRO AGUIRRE CERDA;331;96086;43729;0.4551
PENAFLOR;184;63154;27356;0.4332
PENALOLEN;516;175122;75492;0.4311
PIRQUE;56;19107;8707;0.4557
PROVIDENCIA;478;162042;72946;0.4502
PUDAHUEL;442;150449;60119;0.3996
PUENTE ALTO;987;338523;110087;0.3252
QUILICURA;331;113456;43611;0.3844
QUINTA NORMAL;294;99838;40694;0.4076
RECOLETA;438;136299;55175;0.4048
RENCA;321;110107;42675;0.3876
SAN BERNARDO;610;209084;76771;0.3672
SAN JOAQUIN;262;83423;35676;0.4277
SAN JOSE DE MAIPO;42;14291;6734;0.4712
SAN MIGUEL;285;95911;40058;0.4177
SAN PEDRO;23;7327;3645;0.4975
SAN RAMON;243;82520;35548;0.4308
SANTIAGO;871;283650;98876;0.3486
TALAGANTE;150;51315;24481;0.4771
TILTIL;38;12787;5730;0.4481
VITACURA;259;79859;50418;0.6313
CHEPICA;39;12993;5960;0.4587
CHIMBARONGO;81;27722;12740;0.4596
CODEGUA;30;10153;4816;0.4743
COINCO;20;6495;3076;0.4736
COLTAUCO;42;14210;6461;0.4547
DONIHUE;55;16777;7838;0.4672
GRANEROS;72;24474;11709;0.4784
LA ESTRELLA;11;3183;1686;0.5297
LAS CABRAS;59;18142;8675;0.4782
LITUECHE;18;5485;3002;0.5473
LOLOL;21;6464;3369;0.5212
MACHALI;87;28560;12946;0.4533
MALLOA;39;11535;5954;0.5162
MARCHIGUE;21;6438;3234;0.5023
MOSTAZAL;55;18575;8882;0.4782
NANCAGUA;42;14103;6878;0.4877
NAVIDAD;18;5408;2792;0.5163
OLIVAR;38;11138;5574;0.5004
PALMILLA;29;9798;5025;0.5129
PAREDONES;21;6095;2930;0.4807
PERALILLO;29;9423;4704;0.4992
PEUMO;36;12056;6095;0.5056
PICHIDEGUA;46;15453;7644;0.4947
PICHILEMU;38;12091;5926;0.4901
PLACILLA;24;7398;3787;0.5119
PUMANQUE;13;3571;1680;0.4705
QUINTA DE TILCOCO;35;11515;6045;0.525
RANCAGUA;537;181488;75535;0.4162
RENGO;134;44637;20879;0.4678
REQUINOA;61;20423;10033;0.4913
SAN FERNANDO;171;58113;25870;0.4452
SANTA CRUZ;86;29017;13033;0.4492
SAN VICENTE;109;36661;17217;0.4696
CAUQUENES;122;36651;17623;0.4808
CHANCO;30;9070;5253;0.5792
COLBUN;49;16082;7729;0.4806
CONSTITUCION;117;37374;17222;0.4608
CUREPTO;35;10064;4857;0.4826
CURICO;311;106688;48262;0.4524
EMPEDRADO;14;4218;2221;0.5266
HUALANE;30;8887;4976;0.5599
LICANTEN;23;6583;3284;0.4989
LINARES;223;76230;34548;0.4532
LONGAVI;72;24710;12023;0.4866
MAULE;53;17351;8583;0.4947
MOLINA;110;36432;18343;0.5035
PARRAL;109;35574;17509;0.4922
PELARCO;25;7730;3978;0.5146
PELLUHUE;21;6254;3580;0.5724
PENCAHUE;33;9611;5420;0.5639
RAUCO;28;9136;4853;0.5312
RETIRO;46;15449;7616;0.493
RIO CLARO;31;10458;5491;0.5251
ROMERAL;37;12588;6368;0.5059
SAGRADA FAMILIA;46;14809;7977;0.5387
SAN CLEMENTE;99;33723;16122;0.4781
SAN JAVIER;109;35863;17205;0.4797
SAN RAFAEL;23;7386;3987;0.5398
TALCA;488;167395;75295;0.4498
TENO;65;22440;9948;0.4433
VICHUQUEN;16;4722;2405;0.5093
VILLA ALEGRE;41;12548;6514;0.5191
YERBAS BUENAS;43;13502;7048;0.522
ALTO BIOBIO;15;4917;1813;0.3687
ANTUCO;14;4289;1881;0.4386
ARAUCO;110;28662;13483;0.4704
BULNES;65;19440;9667;0.4973
CABRERO;70;22668;10853;0.4788
CANETE;81;27507;11796;0.4288
CHIGUAYANTE;176;59968;26413;0.4405
CHILLAN;422;141754;63595;0.4486
CHILLAN VIEJO;54;18284;9543;0.5219
COBQUECURA;19;5212;2819;0.5409
COELEMU;52;14672;7910;0.5391
COIHUECO;63;19868;9933;0.4999
CONCEPCION;626;198299;83418;0.4207
CONTULMO;20;5576;2631;0.4718
CORONEL;241;81725;35232;0.4311
CURANILAHUE;87;29387;12627;0.4297
EL CARMEN;38;11868;5675;0.4782
FLORIDA;32;10094;5145;0.5097
HUALPEN;243;74008;33053;0.4466
HUALQUI;56;18234;8627;0.4731
LAJA;64;20743;8907;0.4294
LEBU;65;21127;9170;0.434
LOS ALAMOS;49;16291;7955;0.4883
LOS ANGELES;432;145351;60928;0.4192
LOTA;146;47832;22054;0.4611
MULCHEN;76;25356;11385;0.449
NACIMIENTO;69;23351;9889;0.4235
NEGRETE;25;8226;4169;0.5068
NINHUE;20;5804;3017;0.5198
NIQUEN;33;9932;4806;0.4839
PEMUCO;25;7591;3816;0.5027
PENCO;121;39950;19759;0.4946
PINTO;34;10539;5279;0.5009
PORTEZUELO;19;5578;2905;0.5208
QUILACO;14;4147;1994;0.4808
QUILLECO;32;8979;4355;0.485
QUILLON;46;14127;6808;0.4819
QUIRIHUE;34;10597;5593;0.5278
RANQUIL;19;5506;2903;0.5272
SAN CARLOS;137;44690;20998;0.4699
SAN FABIAN;16;4524;2160;0.4775
SAN IGNACIO;47;13543;6837;0.5048
SAN NICOLAS;34;9578;5162;0.5389
SAN PEDRO DE LA PAZ;214;71547;31830;0.4449
SAN ROSENDO;14;4216;2048;0.4858
SANTA BARBARA;37;12495;5379;0.4305
SANTA JUANA;36;11799;5393;0.4571
TALCAHUANO;417;131520;51222;0.3895
TIRUA;25;8285;3977;0.48
TOME;151;47444;21615;0.4556
TREGUACO;19;5500;3102;0.564
TUCAPEL;41;12021;5618;0.4673
YUMBEL;66;19213;9535;0.4963
YUNGAY;48;15134;6743;0.4456
ANGOL;135;44671;19681;0.4406
CARAHUE;75;23648;10471;0.4428
CHOLCHOL;28;9199;4638;0.5042
COLLIPULLI;65;20876;9584;0.4591
CUNCO;60;18862;7310;0.3876
CURACAUTIN;60;20390;7127;0.3495
CURARREHUE;23;7616;2774;0.3642
ERCILLA;25;7685;3332;0.4336
FREIRE;73;21559;9032;0.4189
GALVARINO;35;11532;5246;0.4549
GORBEA;48;15154;6720;0.4434
LAUTARO;93;30981;13470;0.4348
LONCOCHE;69;21742;9076;0.4174
LONQUIMAY;36;11146;4086;0.3666
LOS SAUCES;25;7176;3760;0.524
LUMACO;31;9002;4265;0.4738
MELIPEUCO;21;7073;2274;0.3215
NUEVA IMPERIAL;87;28972;13217;0.4562
PADRE LAS CASAS;151;51184;20255;0.3957
PERQUENCO;20;6276;3237;0.5158
PITRUFQUEN;66;21126;9130;0.4322
PUCON;67;22850;7969;0.3488
PUREN;38;11653;5415;0.4647
RENAICO;29;8791;4225;0.4806
SAAVEDRA;40;12616;5325;0.4221
TEMUCO;652;218196;87951;0.4031
TEODORO SCHMIDT;46;13464;6683;0.4964
TOLTEN;34;10131;4522;0.4464
TRAIGUEN;60;18218;8457;0.4642
VICTORIA;98;31449;13147;0.418
VILCUN;68;21945;9638;0.4392
VILLARRICA;139;47295;18161;0.384
CORRAL;17;5195;2391;0.4603
FUTRONO;42;13208;5402;0.409
LAGO RANCO;31;8752;4072;0.4653
LANCO;50;15157;6921;0.4566
LA UNION;105;34242;14502;0.4235
LOS LAGOS;54;17679;7650;0.4327
MAFIL;21;6683;3067;0.4589
MARIQUINA;53;16842;7451;0.4424
PAILLACO;63;18354;8557;0.4662
PANGUIPULLI;104;32027;12688;0.3962
RIO BUENO;89;29158;12639;0.4335
VALDIVIA;377;126740;52820;0.4168
ANCUD;110;36460;13962;0.3829
CALBUCO;92;29379;10283;0.35
CASTRO;109;36758;13594;0.3698
CHAITEN;17;5190;1344;0.259
CHONCHI;35;11723;4978;0.4246
COCHAMO;14;4298;1407;0.3274
CURACO DE VELEZ;10;3335;1509;0.4525
DALCAHUE;32;10717;4266;0.3981
FRESIA;40;11693;6035;0.5161
FRUTILLAR;42;14068;7220;0.5132
FUTALEUFU;10;3441;1015;0.295
HUALAIHUE;27;7898;3084;0.3905
LLANQUIHUE;43;14421;7216;0.5004
LOS MUERMOS;46;15075;6938;0.4602
MAULLIN;49;14771;5881;0.3981
OSORNO;421;135263;56513;0.4178
PALENA;7;2180;794;0.3642
PUERTO MONTT;482;162408;59494;0.3663
PUERTO OCTAY;27;8508;4056;0.4767
PUERTO VARAS;105;34318;15476;0.451
PUQUELDON;13;4202;1664;0.396
PURRANQUE;62;19322;9081;0.47
PUYEHUE;34;10696;5360;0.5011
QUEILEN;17;5636;2154;0.3822
QUELLON;59;20145;7233;0.359
QUEMCHI;26;8381;3115;0.3717
QUINCHAO;28;8980;3000;0.3341
RIO NEGRO;44;12835;6314;0.4919
SAN JUAN DE LA COSTA;27;7549;3776;0.5002
SAN PABLO;31;9468;4796;0.5065
AYSEN;70;20771;7538;0.3629
CHILE CHICO;20;6082;1816;0.2986
CISNES;17;4066;1586;0.3901
COCHRANE;10;3083;1088;0.3529
COYHAIQUE;164;50426;17705;0.3511
GUAITECAS;5;1398;514;0.3677
LAGO VERDE;5;1029;397;0.3858
OHIGGINS;3;641;178;0.2777
RIO IBANEZ;12;2559;1066;0.4166
TORTEL;2;483;207;0.4286
ANTARTICA;1;357;21;0.0588
CABO DE HORNOS;6;1738;467;0.2687
LAGUNA BLANCA;4;995;230;0.2312
NATALES;67;20932;6784;0.3241
PORVENIR;22;6351;1730;0.2724
PRIMAVERA;6;1306;273;0.209
PUNTA ARENAS;353;117697;39790;0.3381
RIO VERDE;3;888;200;0.2252
SAN GREGORIO;5;1059;176;0.1662
TIMAUKEL;4;805;85;0.1056
TORRES DEL PAINE;6;1500;381;0.254